"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 00:00","2024","06","01","00:00","14.8","","-5.0","","25","","0.0","","34","","10","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 01:00","2024","06","01","01:00","13.8","","-4.8","","27","","0.0","","32","","11","","","","88.96","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 02:00","2024","06","01","02:00","14.8","","-6.2","","23","","0.0","","27","","25","","","","88.94","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 03:00","2024","06","01","03:00","13.4","","-6.8","","24","","0.0","","28","","21","","","","88.95","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 04:00","2024","06","01","04:00","11.4","","-6.1","","29","","0.0","","27","","17","","","","88.96","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 05:00","2024","06","01","05:00","10.3","","-5.8","","32","","0.0","","28","","18","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 06:00","2024","06","01","06:00","9.7","","-5.7","","33","","0.0","","28","","18","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 07:00","2024","06","01","07:00","7.7","","-6.0","","37","","0.0","","35","","5","","","","88.96","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 08:00","2024","06","01","08:00","6.1","","-4.4","","47","","0.0","","32","","5","","","","88.94","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 09:00","2024","06","01","09:00","4.3","","-4.1","","54","","0.0","","29","","5","","","","88.92","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 10:00","2024","06","01","10:00","2.7","","-3.5","","63","","0.0","","","","0","","","","88.91","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 11:00","2024","06","01","11:00","1.7","","-4.3","","64","","0.0","","","","0","","","","88.88","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 12:00","2024","06","01","12:00","2.8","","-3.9","","61","","0.0","","20","","5","","","","88.85","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 13:00","2024","06","01","13:00","6.3","","-1.4","","58","","0.0","","","","0","","","","88.82","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 14:00","2024","06","01","14:00","9.4","","-2.3","","44","","0.0","","20","","5","","","","88.79","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 15:00","2024","06","01","15:00","12.0","","-1.1","","40","","0.0","","21","","9","","","","88.77","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 16:00","2024","06","01","16:00","13.1","","-3.8","","30","","0.0","","18","","8","","","","88.72","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 17:00","2024","06","01","17:00","14.7","","-2.2","","31","","0.0","","18","","15","","","","88.65","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 18:00","2024","06","01","18:00","16.9","","0.0","","32","","0.0","","17","","17","","","","88.57","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 19:00","2024","06","01","19:00","16.5","","-0.8","","31","","0.0","","17","","11","","","","88.52","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 20:00","2024","06","01","20:00","16.0","","0.2","","34","","0.0","","19","","10","","","","88.48","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 21:00","2024","06","01","21:00","17.3","","0.6","","32","","0.0","","24","","3","","","","88.43","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 22:00","2024","06","01","22:00","17.4","","0.3","","31","","0.0","","18","","7","","","","88.38","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-01 23:00","2024","06","01","23:00","17.1","","0.8","","33","","0.0","","18","","11","","","","88.36","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 00:00","2024","06","02","00:00","17.1","","1.0","","34","","0.0","","25","","13","","","","88.33","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 01:00","2024","06","02","01:00","16.8","","2.4","","38","","0.0","","27","","9","","","","88.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 02:00","2024","06","02","02:00","15.7","","2.9","","42","","0.0","","26","","18","","","","88.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 03:00","2024","06","02","03:00","13.9","","4.2","","52","","0.0","","22","","4","","","","88.30","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 04:00","2024","06","02","04:00","12.3","","2.4","","51","","0.0","","29","","3","","","","88.31","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 05:00","2024","06","02","05:00","11.7","","0.9","","47","","0.0","","28","","13","","","","88.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 06:00","2024","06","02","06:00","11.6","","2.9","","55","","0.0","","32","","28","","","","88.39","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 07:00","2024","06","02","07:00","9.6","","4.1","","69","","0.0","","35","","19","","","","88.42","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-06-02 08:00","2024","06","02","08:00","7.9","","4.5","","79","","0.0","","33","","11","","","","88.42","","","","","","NA"
