"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 00:00","2024","04","01","00:00","2.9","","-4.9","","56","","0.0","","16","","23","","","","88.38","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 01:00","2024","04","01","01:00","2.0","","-6.5","","53","","0.0","","17","","24","","","","88.28","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 02:00","2024","04","01","02:00","1.0","","-5.4","","62","","0.0","","17","","23","","","","88.18","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 03:00","2024","04","01","03:00","0.1","","-4.5","","71","","0.0","","19","","14","","","","88.12","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 04:00","2024","04","01","04:00","0.1","","-4.1","","73","","0.0","","19","","12","","","","88.02","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 05:00","2024","04","01","05:00","-0.9","","-4.3","","78","","0.0","","19","","8","","","","87.98","","","","-4","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 06:00","2024","04","01","06:00","-1.7","","-4.1","","83","","0.0","","21","","3","","","","87.95","","","","-3","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 07:00","2024","04","01","07:00","-0.1","","-4.4","","73","","0.0","","22","","7","","","","87.96","","","","-3","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 08:00","2024","04","01","08:00","4.0","","-4.8","","53","","0.0","","30","","3","","","","88.00","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 09:00","2024","04","01","09:00","6.1","","-4.7","","46","","0.0","","29","","21","","","","88.03","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 10:00","2024","04","01","10:00","4.8","","-5.2","","48","","0.0","","31","","15","","","","88.11","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 11:00","2024","04","01","11:00","6.0","","-5.1","","45","","0.0","","29","","16","","","","88.15","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 12:00","2024","04","01","12:00","4.4","","-5.5","","48","","0.0","","31","","4","","","","88.24","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 13:00","2024","04","01","13:00","2.6","","-5.0","","57","","0.0","","5","","15","","","","88.35","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 14:00","2024","04","01","14:00","2.9","","-5.2","","55","","0.0","","32","","7","","","","88.43","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 15:00","2024","04","01","15:00","4.2","","-3.8","","56","","0.0","","26","","6","","","","88.51","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 16:00","2024","04","01","16:00","5.7","","-3.5","","51","","0.0","","23","","12","","","","88.56","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 17:00","2024","04","01","17:00","8.4","","-4.1","","41","","0.0","","21","","10","","","","88.63","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 18:00","2024","04","01","18:00","10.1","","-5.1","","34","","0.0","","14","","6","","","","88.69","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 19:00","2024","04","01","19:00","8.6","","-2.6","","45","","0.0","","15","","21","","","","88.70","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 20:00","2024","04","01","20:00","8.6","","-1.8","","48","","0.0","","12","","17","","","","88.76","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 21:00","2024","04","01","21:00","9.0","","-1.9","","47","","0.0","","14","","21","","","","88.75","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 22:00","2024","04","01","22:00","9.7","","-0.7","","48","","0.0","","16","","18","","","","88.75","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-01 23:00","2024","04","01","23:00","10.2","","0.3","","50","","0.0","","15","","14","","","","88.75","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 00:00","2024","04","02","00:00","9.7","","0.8","","54","","0.0","","14","","12","","","","88.78","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 01:00","2024","04","02","01:00","8.0","","0.7","","60","","0.0","","14","","14","","","","88.79","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 02:00","2024","04","02","02:00","5.2","","0.0","","69","","0.0","","15","","10","","","","88.85","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 03:00","2024","04","02","03:00","3.9","","0.1","","76","","0.0","","11","","5","","","","88.94","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 04:00","2024","04","02","04:00","2.1","","-1.0","","80","","0.0","","16","","5","","","","88.99","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 05:00","2024","04","02","05:00","0.8","","-1.3","","86","","0.0","","31","","4","","","","89.02","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 06:00","2024","04","02","06:00","0.2","","-1.9","","86","","0.0","","32","","4","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 07:00","2024","04","02","07:00","-0.6","","-2.9","","84","","0.0","","","","0","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 08:00","2024","04","02","08:00","-0.1","","-2.0","","88","","0.0","","","","0","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 09:00","2024","04","02","09:00","-1.0","","-3.3","","84","","0.0","","","","0","","","","89.12","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 10:00","2024","04","02","10:00","0.0","","-3.2","","79","","0.0","","15","","5","","","","89.14","","","","-2","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 11:00","2024","04","02","11:00","1.2","","-3.2","","72","","0.0","","22","","7","","","","89.12","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 12:00","2024","04","02","12:00","2.0","","-4.1","","64","","0.0","","19","","9","","","","89.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 13:00","2024","04","02","13:00","1.6","","-4.0","","67","","0.0","","19","","9","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 14:00","2024","04","02","14:00","3.1","","-2.5","","67","","0.0","","18","","11","","","","89.04","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 15:00","2024","04","02","15:00","6.7","","-0.5","","60","","0.0","","18","","10","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 16:00","2024","04","02","16:00","8.0","","0.0","","57","","0.0","","17","","9","","","","88.99","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 17:00","2024","04","02","17:00","11.1","","0.4","","48","","0.0","","24","","11","","","","88.99","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 18:00","2024","04","02","18:00","12.6","","-0.8","","39","","0.0","","21","","8","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 19:00","2024","04","02","19:00","13.4","","1.2","","43","","0.0","","19","","7","","","","88.96","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 20:00","2024","04","02","20:00","12.3","","0.3","","44","","0.0","","21","","12","","","","88.90","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 21:00","2024","04","02","21:00","11.6","","0.2","","45","","0.0","","16","","13","","","","88.86","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 22:00","2024","04","02","22:00","15.9","","-1.6","","30","","0.0","","25","","35","","","","88.75","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-02 23:00","2024","04","02","23:00","16.5","","-1.2","","30","","0.0","","25","","18","","","","88.76","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 00:00","2024","04","03","00:00","15.6","","0.7","","36","","0.0","","19","","19","","","","88.71","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 01:00","2024","04","03","01:00","15.4","","-0.3","","34","","0.0","","19","","17","","","","88.65","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 02:00","2024","04","03","02:00","14.2","","0.1","","38","","0.0","","19","","14","","","","88.62","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 03:00","2024","04","03","03:00","9.9","","-0.6","","48","","0.0","","22","","9","","","","88.63","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 04:00","2024","04","03","04:00","8.7","","-0.7","","52","","0.0","","20","","12","","","","88.56","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 05:00","2024","04","03","05:00","8.1","","-0.7","","54","","0.0","","19","","14","","","","88.52","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 06:00","2024","04","03","06:00","9.1","","-0.3","","52","","0.0","","17","","21","","","","88.43","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 07:00","2024","04","03","07:00","7.8","","-0.4","","56","","0.0","","17","","13","","","","88.35","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 08:00","2024","04","03","08:00","5.8","","0.6","","69","","0.0","","12","","7","","","","88.31","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 09:00","2024","04","03","09:00","6.7","","0.3","","64","","0.0","","18","","11","","","","88.26","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 10:00","2024","04","03","10:00","9.9","","0.8","","53","","0.0","","19","","28","","","","88.13","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 11:00","2024","04","03","11:00","6.8","","1.1","","67","","0.0","","16","","18","","","","88.03","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 12:00","2024","04","03","12:00","8.1","","2.4","","68","","0.0","","19","","17","","","","88.00","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 13:00","2024","04","03","13:00","6.6","","1.3","","69","","0.0","","1","","13","","","","88.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 14:00","2024","04","03","14:00","6.3","","1.3","","71","","0.0","","33","","10","","","","88.16","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 15:00","2024","04","03","15:00","9.2","","2.5","","63","","0.0","","30","","22","","","","88.22","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 16:00","2024","04","03","16:00","9.4","","1.2","","57","","0.0","","29","","32","","","","88.28","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 17:00","2024","04","03","17:00","4.7","","2.9","","88","","0.0","","35","","29","","","","88.56","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 18:00","2024","04","03","18:00","3.4","","1.5","","88","","0.0","","35","","40","","","","88.68","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 19:00","2024","04","03","19:00","3.6","","0.6","","81","","0.0","","1","","29","","","","88.75","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 20:00","2024","04","03","20:00","4.2","","-1.6","","66","","0.0","","1","","29","","","","88.82","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 21:00","2024","04","03","21:00","6.4","","-1.7","","56","","0.0","","1","","26","","","","88.85","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 22:00","2024","04","03","22:00","6.1","","-4.2","","48","","0.0","","36","","26","","","","88.86","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-03 23:00","2024","04","03","23:00","5.8","","-3.6","","51","","0.0","","2","","21","","","","88.90","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 00:00","2024","04","04","00:00","5.2","","-2.8","","56","","0.0","","4","","16","","","","88.94","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 01:00","2024","04","04","01:00","5.0","","-3.4","","55","","0.0","","7","","10","","","","88.96","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 02:00","2024","04","04","02:00","4.3","","-2.6","","61","","0.0","","2","","5","","","","88.98","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 03:00","2024","04","04","03:00","3.0","","-1.2","","74","","0.0","","3","","11","","","","89.01","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 04:00","2024","04","04","04:00","2.9","","-1.4","","73","","0.0","","36","","10","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 05:00","2024","04","04","05:00","2.0","","-1.1","","80","","0.0","","32","","13","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 06:00","2024","04","04","06:00","1.5","","-0.8","","85","","0.0","","34","","10","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 07:00","2024","04","04","07:00","1.6","","-0.4","","87","","0.0","","34","","12","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 08:00","2024","04","04","08:00","2.0","","-1.3","","79","","0.0","","35","","11","","","","89.03","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 09:00","2024","04","04","09:00","1.6","","-2.1","","76","","0.0","","34","","7","","","","89.05","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 10:00","2024","04","04","10:00","1.9","","-2.4","","73","","0.0","","34","","5","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 11:00","2024","04","04","11:00","0.6","","-1.3","","87","","0.0","","2","","12","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 12:00","2024","04","04","12:00","0.1","","-0.5","","95","","0.5","","36","","11","","","","89.05","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 13:00","2024","04","04","13:00","0.0","","-0.6","","96","","0.7","","36","","12","","","","89.04","","","","-4","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 14:00","2024","04","04","14:00","-0.1","","-0.6","","96","","0.2","","35","","11","","","","89.04","","","","-4","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 15:00","2024","04","04","15:00","-0.7","","-1.3","","96","","1.0","","4","","11","","","","89.06","","","","-4","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 16:00","2024","04","04","16:00","-1.0","","-1.7","","95","","1.0","","36","","16","","","","89.05","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 17:00","2024","04","04","17:00","-0.9","","-1.6","","95","","0.6","","36","","15","","","","89.05","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 18:00","2024","04","04","18:00","-0.8","","-1.5","","95","","1.6","","36","","17","","","","89.03","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 19:00","2024","04","04","19:00","-0.6","","-1.5","","93","","0.5","","36","","24","","","","89.00","","","","-7","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 20:00","2024","04","04","20:00","-0.4","","-1.4","","93","","0.1","","36","","26","","","","88.96","","","","-7","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 21:00","2024","04","04","21:00","-0.1","","-0.8","","95","","0.7","","2","","20","","","","88.99","","","","-5","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 22:00","2024","04","04","22:00","-0.2","","-0.9","","95","","0.5","","5","","25","","","","88.93","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-04 23:00","2024","04","04","23:00","0.0","","-0.6","","96","","0.5","","5","","15","","","","88.94","","","","-4","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 00:00","2024","04","05","00:00","-0.2","","-0.7","","96","","0.5","","5","","21","","","","88.91","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 01:00","2024","04","05","01:00","-0.3","","-0.7","","97","","0.3","","4","","17","","","","88.90","","","","-5","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 02:00","2024","04","05","02:00","-0.2","","-0.6","","97","","0.3","","4","","15","","","","88.89","","","","-5","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 03:00","2024","04","05","03:00","-0.2","","-0.6","","97","","0.1","","4","","18","","","","88.89","","","","-5","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 04:00","2024","04","05","04:00","-0.5","","-0.9","","97","","0.1","","5","","19","","","","88.87","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 05:00","2024","04","05","05:00","-0.8","","-1.3","","97","","0.0","","5","","18","","","","88.87","","","","-6","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 06:00","2024","04","05","06:00","-1.0","","-1.4","","97","","0.6","","6","","14","","","","88.82","","","","-5","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-04-05 07:00","2024","04","05","07:00","-1.1","","-1.6","","97","","0.3","","2","","16","","","","88.73","","","","-6","","NA"
