"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 00:00","2024","10","01","00:00","12.3","","-8.7","","22","","0.0","","28","","24","","","","89.74","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 01:00","2024","10","01","01:00","10.9","","-7.8","","26","","0.0","","28","","23","","","","89.74","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 02:00","2024","10","01","02:00","8.4","","-6.6","","34","","0.0","","27","","15","","","","89.76","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 03:00","2024","10","01","03:00","6.8","","-6.0","","39","","0.0","","27","","12","","","","89.69","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 04:00","2024","10","01","04:00","6.6","","-6.0","","40","","0.0","","28","","13","","","","89.64","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 05:00","2024","10","01","05:00","7.1","","-5.0","","42","","0.0","","23","","11","","","","89.54","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 06:00","2024","10","01","06:00","6.1","","-3.5","","50","","0.0","","21","","5","","","","89.51","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 07:00","2024","10","01","07:00","6.6","","-2.5","","52","","0.0","","24","","4","","","","89.47","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 08:00","2024","10","01","08:00","4.7","","-1.9","","62","","0.0","","23","","5","","","","89.37","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 09:00","2024","10","01","09:00","5.1","","-1.4","","63","","0.0","","29","","4","","","","89.33","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 10:00","2024","10","01","10:00","5.1","","-2.3","","59","","0.0","","16","","4","","","","89.26","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 11:00","2024","10","01","11:00","8.9","","-0.7","","51","","0.0","","","","0","","","","89.19","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 12:00","2024","10","01","12:00","11.1","","0.1","","47","","0.0","","28","","9","","","","89.14","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 13:00","2024","10","01","13:00","11.1","","0.4","","48","","0.0","","27","","8","","","","89.06","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 14:00","2024","10","01","14:00","7.4","","0.3","","61","","0.0","","16","","7","","","","88.97","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 15:00","2024","10","01","15:00","8.3","","1.6","","63","","0.0","","18","","4","","","","88.97","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 16:00","2024","10","01","16:00","10.7","","1.4","","52","","0.0","","15","","4","","","","88.86","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 17:00","2024","10","01","17:00","12.4","","0.0","","42","","0.0","","15","","8","","","","88.79","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 18:00","2024","10","01","18:00","12.4","","0.3","","43","","0.0","","18","","3","","","","88.74","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-10-01 19:00","2024","10","01","19:00","13.1","","1.3","","45","","0.0","","25","","4","","","","88.68","","","","","","NA"
